Kerkyra
Aarhus
Kallonis
Dunfermline
Kula
Macva Sabac
LKS
Uzhgorod
Lausanne
Nordsjaelland
Dunarea Calarasi
Dinamo Bucuresti
Budafoki
Vaslui
Metalist
Olympiakos
Asteras Tripolis
Nyiregyhaza
Luzern
Borca Beograd
Esbjerg
Split 1912
Nis
Universitatea Cluj
Krusevac
Servette
Metal Kharkiv
Atromitos
Viborg
Zlatibor
Siofok
Novi Pazar
Sigma Olomouc
Videoton
Jagodina
Jablonec
Hajduk
Lugano
Lausanne Ouchy
Kifisias
Targu Mures
Sion
Radomiak
Dukla
Obolon Kyiv
Dinamo Zagreb
Istra 1961
Bekescsabai
Rukh Lviv
Warta
Midtjylland
Ionikos
Sepsi
Hobro
Dniprodzerzhynsk
Varazdin
Panionios
Kecskemeti
Panathinaikos
Rijeka
Miedz Legnica
Aris
Xanthi
Tescoma Zlin
Arka
Sandecja Nowy Sacz
NFC Volos
LNZ
Petrolul Ploiesti
Piatra Neamt
Desna
Vorskla
Kisvarda
Korona
Cibalia Vinkovci
Bohemians Praha
Hibernian
Pardubice
Zalaegerszegi
Celtic
Balmazujvarosi
Opava
Kolubara Lazarevac
Backa Topola
Otelul Galati
Inhulets
Polonia Warszawa
Partick
Zeleznicar Pancevo
Basel
Zawisza
Vozdovac Beograd
Plock
Kolos
Aalborg
Legia
Ujpest
Jagiellonia
Arsenal Kyiv
Grasshoppers
Panthrakikos
M Zaporizhya
Corona Brasov
Dunaferr
Nieciecza
Belchatow
Osijek
Ilichivets
Slovan Liberec
Craiova 1948
Xamax
Crvena Zvezda
Winterthur
Ruch
Ferencvaros
Simferopol
Silkeborg
Horsens
Sartid
Pogon
Cukaricki
Hamilton
Zuerich
Gornik Leczna
HB Koge
Olimpik Donetsk
Proleter Novi Sad
CFR Cluj
Paksi
Ergotelis
Juventus Bucuresti
Sibenik
Widzew
Gyoer
Lombard
Dundee
Astra
Timisoara
Botosani
Niki Volou
Jihlava
Lamia
Rapid Bucuresti
Aarau
Vointa Sibiu
Hradec Kralove
Lozinca
Viktoria Zizkov
Giannina
Karlovac
Metalist 1925
Lyngby
Voluntari
Kilmarnock
Indija
Hermannstadt
Piast Gliwice
Lechia
Young Boys
Gornik
Sevastopol
Diosgyori
Karpaty
Mioveni
Rad
Sevojno
Banik Ostrava
Slavia Praha
Varteks
Larisa
Vendsyssel
Haladas
Pecsi Dozsa
Brasov
Zorya
Gaz Metan
Brondby
Kaposvari
Znojmo
Brno
Cajetina
Chiajna
St Johnstone
Bistrita
Zirka
Debrecen
Inverness
Kryvbas
Honved
Rudes Zagreb
Vasas SC
IMT
Wisla
OFI
Slovacko
UTA Arad
Donji Srem
HNK Gorica
Veres
Arges Pitesti
Mynai
Panetolikos
Lubin
Lok Zagreb
Polissya Zhytomyr
Viktoria Plzen
Ivanjica
Volyn Lutsk
Slaven Belupo
Hvidovre
Odense
Olexandriya
Metalac Gornji Milanovac
FC Lviv
Platanias
Dinamo Vranje
Yverdon Sport
St Mirren
Rangers
Partizan
StGallen
Veria
Clinceni
Livingston
Levadeiakos
Backa Palanka
Cracovia
Vejle
Egri
Slask
NK Zagreb
MTK
Chernomorets
Puskas Akademia
Craiova
Puszcza Niepolomice
Borac Cacak
Novi Sad
Dynamo Kyiv
Dnipro
Radnik Surdulica
PAOK
SonderjyskE
Pandurii
Lucko
Gyirmot
Kragujevac
Sparta Praha
Doxa Dramas
Pribram
Ross County
Inter Zapresic
Dundee United
Iraklis
Rakow
Shakhtar
Helsingor
Sportul
OFK
FC Kobenhavn
Hearts
Apollon Athens
AEK
Teplice
Turnu Severin
Panserraikos
Karvina
Zadar
Mlada Boleslav
Iasi
Thun
Ceske Budejovice
Viitorul
Mezokovesd-Zsory
Chindia Targoviste
Vestsjaelland
Sosnowiec
Mladost Novi Sad
Aberdeen
Dragovoljac
Sageata
Randers
Stal Mielec
Gloria Buzau
Lech
Motherwell
Zemun
Steaua
Podbeskidzie
Mladost Lucani
